person,position,video,slides
Lex Fridman,MIT,https://www.youtube.com/watch?v=0VH1Lim8gL8&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_06_deep_learning_state_of_the_art.pdf
Andrew Trask,"OpenMined, University of Oxford",https://www.youtube.com/watch?v=4zrU54VIK6k&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_08_andrew_trask_privacy_preserving_ai.pdf
Vivienne Sze,MIT,https://www.youtube.com/watch?v=WbLQqPw_n88&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_15_vivienne_sze_efficient_computing.pdf
Vladimir Vapnik,Columbia University,https://www.youtube.com/watch?v=Ow25mjFjSmg&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_10_vladimir_vapnik_theory_of_learning.pdf
,,https://www.youtube.com/watch?v=O5xeyoRL95U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/c0g3sc1shi63x3q/deep_learning_basics.pdf?dl=0
,,https://www.youtube.com/watch?v=53YvP6gdD7U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/v3rq3895r05xick/deep_learning_state_of_the_art.pdf?dl=0
,,https://www.youtube.com/watch?v=zR11FLZ-O9M&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/wekmlv45omd266o/deep_rl_intro.pdf?dl=0
Lex Fridman,"Research Scientist, MIT",https://www.youtube.com/watch?v=sRxaMDDMWQQ&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,https://www.dropbox.com/s/7in6e07mqiynvqi/self_driving_cars_state_of_the_art.pdf?dl=0
Drago Anguelov,"Principal Scientist, Waymo",https://www.youtube.com/watch?v=Q0nGo2-y0xY&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Oliver Cameron,"CEO, Voyage",https://www.youtube.com/watch?v=-j0tc0Y1CIE&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Karl Iagnemma,"President, Aptiv Autonomous Mobility",https://www.youtube.com/watch?v=p5AtrKqQ3Fw&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Lex Fridman,"Research Scientist, MIT",https://www.youtube.com/watch?v=_OCjqIgxwHw&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,https://www.dropbox.com/s/d8exfakm7hw9zl1/self_driving_cars_2018.pdf?dl=0
Sacha Arnoud,"Director of Engineering, Waymo",https://www.youtube.com/watch?v=LSX3qdy0dFg&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Emilio Frazzoli,"CTO, nuTonomy",https://www.youtube.com/watch?v=dWSbItd0HEA&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Sterling Anderson,"Co-Founder, Aurora",https://www.youtube.com/watch?v=HKBhP9JISF0&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Chris Gerdes,"Professor, Stanford",https://www.youtube.com/watch?v=LDprUza7yT4&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Sertac Karaman,"Professor, MIT",https://www.youtube.com/watch?v=0fLSf3NO0-s&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
,,https://www.youtube.com/watch?v=-6INDaLcuJY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/v8yfrydyrkzsm8q/deep_learning_2018.pdf?dl=0
,,https://www.youtube.com/watch?v=MQ6pP65o7OM&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/z4bfr9nifopijdj/deep_reinforcement_learning_2018.pdf?dl=0
,,https://www.youtube.com/watch?v=CLOAswsxudo&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/a5iqp1df5j1xydj/computer_vision_2018.pdf?dl=0
,,https://www.youtube.com/watch?v=Z2GfE8pLyxc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/phg3r7699tuo9ap/human_sensing_2018.pdf?dl=0
,,https://www.youtube.com/watch?v=1L0TKZQcUtA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/wo8tdnifmtqmmrm/deep_learning_self_driving_cars_2017.pdf?dl=0
,,https://www.youtube.com/watch?v=QDzM8r3WgBw&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/fqzopdhw7noatu1/deep_reinforcement_learning_2017.pdf?dl=0
,,https://www.youtube.com/watch?v=U1toUkZw6VI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/dy9r29ff0gt215j/convolutional_neural_networks_2017.pdf?dl=0
,,https://www.youtube.com/watch?v=nFTQ7kHQWtc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/z2lptrvhm65j0qu/recurrent_neural_networks_2017.pdf?dl=0
,,https://www.youtube.com/watch?v=ByZF8_-OJNI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/ox0tp0axtrq1f5e/human_sensing_2017.pdf?dl=0
